N	3gram	Nazirov_Tv_1	Morfolog
1	и т д	1	47
2	в связи с	1	8
3	по отношению к	1	4
4	тем не менее	2	4
5	с другой стороны	1	4
6	как и в	1	3
7	на самом деле	2	3
8	не могут быть	1	3
9	с одной стороны	1	2
10	друг на друга	1	2
11	в том что	6	2
12	и в других	1	2
13	на первый взгляд	1	2
14	в настоящее время	1	2
15	не значит что	1	2
16	точно так же	2	2
17	быть определен как	1	2
18	это не значит	1	2
19	с самого начала	3	1
20	это значит что	1	1
21	в то же	13	1
22	бы то ни	1	1
23	в их числе	1	1
24	можно сказать что	2	1
25	но это не	1	1
26	дело не в	1	1
27	а если мы	1	1
28	что же касается	1	1
29	к тому что	1	1
30	том или другом	1	1
31	не означает что	1	1
32	если же в	1	1
33	бросается в глаза	1	1
34	о том что	5	1
35	вспомним хотя бы	1	1
36	нет не только	1	1
37	они представляют собой	1	1
38	могут быть названы	1	1
39	не что иное	1	1
40	он не может	1	1
41	мы имеем в	1	1
42	это уже не	2	1
43	то же время	12	1
44	не задаваясь вопросом	1	1
45	что иное как	1	1
46	вполне может быть	1	1
47	все более и	1	1
48	в бою и	1	1
49	может быть определен	1	1
50	в данном случае	2	1
51	хотя и не	1	1
52	более и более	1	1
53	не то что	1	1
54	до сих пор	1	1
