N	3gram	Propp_Russ_1	Myshleni
1	по отношению к	1	12
2	в том что	15	11
3	с точки зрения	3	9
4	так же как	1	7
5	друг с другом	1	7
6	потому что он	1	5
7	в этом отношении	1	5
8	можно сказать что	1	5
9	подобно тому как	1	4
10	на этот вопрос	1	4
11	в то время	1	4
12	о том что	4	4
13	и того же	1	3
14	с таким же	1	3
15	состоит в том	8	3
16	в этом случае	5	3
17	можно было бы	1	3
18	так как это	1	3
19	в свою очередь	2	3
20	одного и того	1	3
21	вопрос о том	1	3
22	свете того что	1	2
23	том что в	6	2
24	в отличие от	1	2
25	в свете того	1	2
26	вместе с тем	6	2
27	не до конца	1	2
28	приводит нас к	1	2
29	ничего общего с	1	2
30	но все же	2	2
31	до того как	2	2
32	мы видим что	1	2
33	как мы видели	1	2
34	что иное как	2	1
35	что в этом	2	1
36	мы должны будем	1	1
37	совершенно очевидно что	1	1
38	сказать что в	1	1
39	на самом деле	1	1
40	и на другие	1	1
41	никак не может	1	1
42	же как и	1	1
43	только по отношению	1	1
44	но и на	2	1
45	себя и не	1	1
46	как мы увидим	5	1
47	независимо от того	1	1
48	как это часто	1	1
49	что не только	1	1
50	в собственном смысле	1	1
51	может быть правильно	1	1
52	как уже указано	1	1
53	это не имеет	1	1
54	приводят нас к	1	1
55	эту точку зрения	1	1
56	и многие другие	2	1
57	не что иное	2	1
58	один из них	2	1
59	еще и в	1	1
60	не только по	2	1
61	и потому что	2	1
62	в какой степени	2	1
63	не только для	1	1
64	одни и те	1	1
65	в связи с	4	1
66	но вместе с	1	1
67	потому что она	1	1
68	совершенно такие же	1	1
69	в том какие	1	1
70	и состоит в	1	1
71	друг к другу	2	1
72	во всяком случае	1	1
73	тем не менее	3	1
74	в тех случаях	1	1
75	в одном и	1	1
76	такое же значение	1	1
77	для обозначения одного	1	1
78	мы не можем	3	1
79	не только потому	1	1
80	и что следовательно	1	1
81	тому что именно	1	1
82	к выводу что	2	1
83	и те же	1	1
84	но и по	1	1
85	как мы видим	1	1
86	представляют собой не	1	1
87	тех случаях когда	1	1
88	к тому что	4	1
89	обозначения одного и	1	1
