N	3gram	Berdyaev_M_2	Literetu
1	в этом отношении	1	5
2	о том что	2	4
3	по отношению к	2	4
4	в том что	2	4
5	не может быть	8	3
6	с точки зрения	1	3
7	подобно тому как	2	2
8	берет на себя	1	2
9	той или иной	1	2
10	в мире не	1	2
11	но и в	1	2
12	на то что	1	2
13	это и есть	3	1
14	который может быть	1	1
15	что он в	1	1
16	в ней есть	2	1
17	в xix веке	1	1
18	а также в	1	1
19	и в словах	1	1
20	но это не	2	1
21	для того чтобы	4	1
22	тому как в	1	1
23	между тем как	1	1
24	к тому что	3	1
25	которые могли бы	1	1
26	не что иное	3	1
27	на самом деле	1	1
28	в отношении к	2	1
29	для него не	1	1
30	никогда не бывает	2	1
31	в значительной степени	1	1
32	и не состояться	1	1
33	органической связи с	1	1
34	втором случае человек	1	1
35	как бы не	1	1
36	в этом втором	1	1
37	что иное как	3	1
38	сама по себе	1	1
39	он сам не	1	1
40	к человеку и	3	1
41	в другом и	1	1
42	в себе и	1	1
43	а не только	1	1
44	так и не	1	1
45	я не могу	1	1
