N	4gram	Vinokur_Ku_1	Myshleni
1	заключается в том что	2	6
2	одного и того же	2	4
3	является то обстоятельство что	1	3
4	состоит в том что	3	3
5	и вместе с тем	1	2
6	в собственном смысле слова	1	2
7	с этой точки зрения	1	2
8	в силу того что	2	2
9	в том что она	1	1
10	смысле этого слова и	1	1
11	силу того что они	1	1
12	на том основании что	1	1
13	не только потому что	1	1
14	не что иное как	1	1
15	иначе как с помощью	2	1
16	и не потому что	1	1
17	во всех этих случаях	1	1
18	не может быть решена	1	1
19	а вместе с тем	1	1
