N	4gram	Vygotskiy__1	Psycholo
1	заключается в том что	4	7
2	одной и той же	2	4
3	в том что он	1	3
4	так же точно как	1	3
5	в то же время	1	2
6	остается ничего другого как	2	2
7	все более и более	2	2
8	точно так же как	1	2
9	для того чтобы показать	2	2
10	в том что в	1	2
11	с таким образом и	2	2
12	не остается ничего другого	2	2
13	состоит в том чтобы	1	2
14	так же точно и	1	2
15	в то время как	4	2
16	для того чтобы заметить	1	2
17	для того чтобы объяснить	1	1
18	того чтобы показать что	1	1
19	которые отличают его от	1	1
20	самом деле стоит только	1	1
21	одно и то же	2	1
22	же точно как в	1	1
23	приходит к выводу что	3	1
24	в полном согласии с	1	1
25	с этой точки зрения	1	1
26	а с другой стороны	2	1
27	само собой разумеется что	1	1
28	заключается в том чтобы	1	1
29	в силу того что	1	1
30	приводит к тому что	1	1
31	для того чтобы сделать	1	1
32	и до наших дней	1	1
33	в самом деле стоит	1	1
34	так же точно в	1	1
35	все больше и больше	1	1
36	указывает на то что	2	1
37	того чтобы показать как	1	1
38	так же как и	4	1
39	того чтобы заметить что	1	1
40	ответ на этот вопрос	2	1
41	столько же сколько и	1	1
42	всегда и постоянно от	1	1
43	вместе с тем и	1	1
44	он прямо говорит что	1	1
