N	3gram	Bakhtin_Pr_5	UchenyiS
1	не может быть	3	4
2	с другой стороны	3	3
3	то же время	10	3
4	бы то ни	3	3
5	в то же	10	3
6	то ни было	3	3
7	а между тем	3	2
8	в самом деле	1	2
9	но даже и	1	2
10	в этом смысле	3	2
11	то же самое	1	2
12	до сих пор	1	2
13	в этом отношении	1	2
14	в том что	2	2
15	по крайней мере	1	2
16	и то что	1	2
17	в конце концов	3	2
18	этом отношении очень	1	1
19	в большей или	1	1
20	или меньшей степени	1	1
21	большей или меньшей	1	1
22	в этом случае	1	1
23	в ухо ивану	1	1
24	этом смысле можно	1	1
25	никогда и не	1	1
26	и в то	2	1
27	сам по себе	2	1
28	не входит в	1	1
29	он и делает	1	1
30	таким образом на	1	1
31	же время не	3	1
32	о нем но	1	1
33	и что все	2	1
34	и прежде всего	4	1
35	смысле можно сказать	1	1
36	еще один пример	1	1
37	можно сказать что	1	1
38	не может обойтись	1	1
39	и у других	1	1
40	друг с другом	4	1
41	в данном случае	1	1
42	но в то	4	1
43	тем что он	1	1
