N	4gram	Potebnia_M_4	Dialekti
1	одна и та же	1	4
2	не что иное как	2	3
3	в то же время	3	3
4	в том смысле что	1	3
5	не выходя за пределы	1	2
6	иметь в виду что	1	2
7	есть не что иное	1	2
8	и вместе с тем	1	1
9	заключается в том что	1	1
10	тем не менее в	1	1
11	и то и другое	1	1
12	между тем и другим	2	1
13	вопрос о том что	1	1
14	по мере того как	4	1
15	возможна только потому что	1	1
16	поэтический образ может быть	1	1
17	не в том что	1	1
18	до тех пор пока	2	1
19	и до сих пор	2	1
20	все более и более	2	1
21	сказать несколько слов об	2	1
