N	3gram	Losev_Vesc_1	Literetu
1	в то же	1	9
2	не может быть	6	7
3	с одной стороны	3	6
4	в том что	4	5
5	с другой стороны	2	4
6	в том чтобы	1	3
7	в этом отношении	1	3
8	в данном случае	2	3
9	с точки зрения	3	3
10	о том что	4	2
11	подобно тому как	4	2
12	же как я	1	2
13	по крайней мере	4	2
14	и то же	4	2
15	в свое время	2	2
16	тем не менее	3	2
17	одно и то	4	2
18	мы не можем	1	1
19	а в том	1	1
20	в данный момент	1	1
21	для тех кто	1	1
22	бы то ни	4	1
23	и для всех	1	1
24	в действительности же	1	1
25	не только не	2	1
26	в конце концов	2	1
27	у него нет	1	1
28	тех или иных	1	1
29	она уже не	1	1
30	что в ней	1	1
31	для того чтобы	2	1
32	из того что	2	1
33	нам быть с	1	1
34	то ни было	4	1
35	ни с какой	1	1
36	к тому что	2	1
37	в пределах самого	1	1
38	то же самое	1	1
39	было бы представить	1	1
40	этой точки зрения	1	1
41	можно было бы	1	1
42	и то что	3	1
43	не мог бы	1	1
44	в свою очередь	4	1
45	все то что	1	1
46	а так как	2	1
47	в основе своей	2	1
48	и всякой иной	1	1
49	одной стороны и	1	1
50	внутренней и внешней	1	1
51	только то что	2	1
52	что на нем	1	1
53	в себе не	1	1
54	вместе с тем	1	1
55	даже и не	1	1
56	в самом начале	1	1
57	в себе и	1	1
58	но то что	1	1
59	в отличии от	2	1
60	тех кто не	1	1
61	мы имеем дело	2	1
62	случае мы не	1	1
63	не в том	1	1
64	ни было но	1	1
65	но даже и	2	1
66	с этой точки	1	1
