N	3gram	Nazirov_Tr_1	Problema
1	о том что	2	9
2	в том что	2	8
3	в связи с	1	7
4	в конце концов	1	6
5	тем не менее	1	5
6	точно так же	2	3
7	и в частности	2	3
8	и то что	1	3
9	который в своей	1	3
10	после того как	1	3
11	все же не	1	3
12	и знает что	1	2
13	том что он	1	2
14	но все же	2	2
15	во всяком случае	1	2
16	в данном случае	2	2
17	не может быть	1	2
18	своей и чужой	1	1
19	это и есть	1	1
20	в виду не	1	1
21	с самого начала	1	1
22	сам по себе	1	1
23	так и в	3	1
24	в то же	5	1
25	но в то	2	1
26	и в этом	1	1
27	не только по	1	1
28	в самом деле	1	1
29	сам о себе	1	1
30	что в ней	1	1
31	уже в году	1	1
32	у него нет	1	1
33	как и его	1	1
34	бросается в глаза	2	1
35	приходит в голову	1	1
36	и как бы	2	1
37	несмотря на всю	1	1
38	не в силах	2	1
39	и он сам	1	1
40	и в дальнейшем	2	1
41	то же время	5	1
42	и вместе с	1	1
43	не только о	1	1
44	у него есть	1	1
45	и все же	1	1
46	он сам о	1	1
47	на всю ее	1	1
