N	3gram	Ircho_Kome_3	Dialekti
1	и т д	1	15
2	в том что	9	9
3	с точки зрения	3	9
4	по крайней мере	1	7
5	в то же	4	6
6	то же время	4	6
7	для того чтобы	6	5
8	подобно тому как	1	4
9	и тем более	1	4
10	т е о	1	3
11	и в этом	1	3
12	же что и	1	3
13	на то что	1	3
14	говоря уже о	1	3
15	не говоря уже	1	3
16	о том как	3	2
17	и в частности	1	2
18	по сравнению с	2	2
19	и в то	1	2
20	т е в	2	2
21	равно как и	1	2
22	имеет ничего общего	1	2
23	крайней мере с	1	2
24	этой точки зрения	1	2
25	ничего общего с	1	2
26	не имеет ничего	1	2
27	тем не менее	3	2
28	в свою очередь	6	2
29	с этой точки	1	2
30	должно было бы	1	1
31	то обстоятельство что	2	1
32	так или иначе	2	1
33	это не так	1	1
34	о том что	4	1
35	вопрос о том	1	1
36	ну а что	1	1
37	и для этого	1	1
38	в течение всей	1	1
39	можно сказать что	1	1
40	после того как	1	1
41	в конце концов	2	1
42	но если бы	1	1
43	только для того	2	1
44	на первый план	1	1
45	так что лучше	1	1
46	в виду конечно	1	1
47	в этом случае	2	1
48	в силу этого	1	1
49	и не может	1	1
50	не было и	1	1
51	в ней как	1	1
52	вместе с ним	2	1
53	и с этой	2	1
54	как бы в	1	1
55	говорить о полном	1	1
56	в обоих случаях	1	1
57	в отличие от	1	1
58	в этот момент	1	1
59	гораздо ближе к	1	1
60	то ни в	1	1
61	речь идет о	3	1
62	в основе своей	1	1
63	и все его	1	1
64	прежде всего это	1	1
65	одной из сторон	1	1
66	может быть только	1	1
67	из себя и	1	1
68	в нем только	1	1
69	в связи с	3	1
70	но все же	2	1
71	в виду что	1	1
72	в зависимости от	1	1
73	еще не знает	1	1
74	с другой стороны	2	1
75	и не думал	1	1
76	друг от друга	1	1
77	т е чисто	1	1
78	в отношении к	1	1
79	я мог бы	1	1
