N	4gram	Vinokur_St_1	Problemy
1	в то же время	4	9
2	но в то же	2	5
3	в том что он	1	4
4	то же время не	1	3
5	и в то же	1	2
6	но с другой стороны	2	2
7	и в этом отношении	1	2
8	то же время оно	1	1
9	во всяком случае не	1	1
10	что же это за	1	1
11	что бы то ни	1	1
12	не все в этой	1	1
13	заключается в том что	2	1
14	в том и другом	1	1
15	в критической литературе о	1	1
16	с другой стороны и	1	1
17	так же как и	1	1
18	том и другом случае	1	1
19	и по отношению к	1	1
20	но это не значит	1	1
21	только и могут быть	1	1
22	во что бы то	1	1
23	бы то ни стало	1	1
24	дело в том что	4	1
25	именно в том что	1	1
26	в то время как	1	1
