N	4gram	Tiupa_Anal_1	Problemy
1	в то же время	6	9
2	но в то же	2	5
3	в том что он	2	4
4	в пределы одного сознания	1	2
5	а в то же	2	2
6	большей или меньшей степени	1	1
7	бы оно ни было	1	1
8	точке соприкосновения разных сознаний	1	1
9	то же время оно	1	1
10	и рождается в точке	1	1
11	мы имеем в виду	1	1
12	в большей или меньшей	1	1
13	рождается в точке соприкосновения	1	1
14	бы то ни было	3	1
15	событийна и рождается в	1	1
16	оно и не может	1	1
17	в точке соприкосновения разных	1	1
18	какой бы то ни	2	1
