N	3gram	Potebnia_M_3	UchenyiS
1	не может быть	3	4
2	в то же	5	3
3	то же время	5	3
4	с другой стороны	4	3
5	и то что	1	2
6	в этом отношении	2	2
7	не могут быть	2	2
8	на каждом шагу	1	2
9	в самом деле	1	2
10	в художественном произведении	1	2
11	до сих пор	3	2
12	в противном случае	1	2
13	в том что	16	2
14	то же самое	1	2
15	по крайней мере	5	2
16	а между тем	2	2
17	так или иначе	1	1
18	с одной стороны	3	1
19	на то что	1	1
20	более или менее	3	1
21	не только в	4	1
22	по себе еще	1	1
23	или по крайней	1	1
24	друг с другом	1	1
25	в своей совокупности	1	1
26	свойственна не только	1	1
27	еще один пример	1	1
28	между тем в	1	1
29	то что при	1	1
30	между тем сам	1	1
31	научного анализа в	1	1
32	можно сказать что	2	1
33	в своем кругу	1	1
34	лишь настолько насколько	3	1
35	все это в	1	1
36	этого не было	1	1
37	же художественное произведение	1	1
38	равно как и	1	1
39	же самое делает	1	1
40	быть не может	1	1
41	что для него	1	1
42	не в том	5	1
43	само по себе	3	1
44	же в самом	1	1
45	том что она	1	1
46	это было бы	1	1
47	не все в	1	1
48	в данном случае	1	1
49	сам по себе	5	1
50	на первый взгляд	1	1
51	в буквальном смысле	2	1
