N	4gram	Losev_Prob_1	Myshleni
1	в то время как	1	5
2	заключается в том что	1	5
3	одного и того же	2	4
4	когда мы говорим что	2	2
5	и в другом случае	1	1
6	том и в другом	1	1
7	для того чтобы ее	1	1
8	на то что в	1	1
9	именно в этом смысле	1	1
10	это не значит что	1	1
11	не что иное как	2	1
12	до сих пор мы	2	1
13	прежде чем перейти к	2	1
14	в связи с этим	1	1
15	в том и в	1	1
16	мы можем говорить только	1	1
17	так же как и	1	1
18	внимание на то что	1	1
19	и в любой другой	1	1
20	есть не что иное	2	1
