N	4gram	Losev_Vesc_1	Myshleni
1	заключается в том что	1	13
2	одно и то же	4	6
3	одного и того же	1	5
4	одному и тому же	1	4
5	мы видим таким образом	1	4
6	с этой точки зрения	1	4
7	видим таким образом что	1	4
8	к одному и тому	1	4
9	с одной стороны и	1	2
10	вопрос о том как	1	1
11	в интересующей нас области	1	1
12	не только то что	1	1
13	в том смысле что	1	1
14	не содержит в себе	1	1
15	бы то ни было	4	1
16	было бы сказать что	2	1
17	что в свою очередь	1	1
18	не может не быть	1	1
19	не что иное как	7	1
20	в то время как	1	1
21	но и то что	1	1
