N	3gram	Tiupa_Teor_1	FransuaR
1	в то же	5	6
2	то же время	5	6
3	но в то	1	4
4	в связи с	1	4
5	в том числе	2	3
6	для того чтобы	1	3
7	шире и глубже	1	3
8	в отличие от	6	3
9	в нашем примере	1	3
10	о том что	1	2
11	по отношению к	4	2
12	как и в	2	2
13	можно сказать что	2	2
14	все то что	1	2
15	в значительной степени	1	2
16	той или иной	1	2
17	том числе и	1	2
18	в той или	1	2
19	в данном случае	5	2
20	как раз в	1	2
21	не может быть	4	2
22	заключается в том	1	1
23	подобно тому как	1	1
24	об этом так	1	1
25	и в сущности	1	1
26	в таких случаях	1	1
27	том что в	1	1
28	в данном контексте	1	1
29	бы то ни	1	1
30	и свободы но	1	1
31	войне и мире	2	1
32	тех или иных	3	1
33	с другой стороны	5	1
34	может быть и	2	1
35	таким образом и	1	1
36	имея в виду	1	1
37	то ни было	1	1
38	как это делает	1	1
39	по ту сторону	1	1
40	в том что	8	1
41	что в отличие	1	1
42	в особенности в	1	1
43	в первом случае	1	1
44	и в этой	1	1
45	не что иное	1	1
46	в основе своей	1	1
47	и здесь остается	1	1
48	именно эта сторона	1	1
49	в области литературы	1	1
50	мы имеем в	3	1
51	в последней главе	1	1
52	только то что	1	1
53	что иное как	1	1
54	есть не что	1	1
55	отношение к объекту	1	1
56	своей причастности к	1	1
57	с точки зрения	3	1
58	дело в том	1	1
59	то что может	1	1
60	одним из древнейших	1	1
61	языка но и	1	1
62	имеем в виду	3	1
63	это делает например	1	1
64	что в основе	2	1
65	в свою очередь	2	1
