N	2gram	Medvedev_V_1	formyVre
1	и в	2	46
2	в этом	1	22
3	и его	1	12
4	только в	1	11
5	в том	2	10
6	и не	1	9
7	потому что	1	8
8	то же	1	8
9	все это	1	6
10	так как	1	6
11	в частности	1	5
12	по существу	1	5
13	том же	1	4
14	том что	2	4
15	в другом	1	3
16	в их	1	3
17	тем более	1	3
18	в которых	1	3
19	к этому	1	3
20	в конце	2	2
21	другом месте	1	2
22	и только	1	2
23	далеко не	1	2
24	именно в	1	2
25	и почти	1	2
26	с большой	1	2
27	но это	1	2
28	они на	1	1
29	в значительной	1	1
30	одно и	1	1
31	конце концов	2	1
32	в устах	1	1
33	чего не	1	1
34	сводится к	1	1
35	время в	1	1
36	в самом	1	1
37	к созданию	1	1
38	говоря о	1	1
39	на одном	1	1
40	ведь это	1	1
41	дело в	1	1
42	да и	1	1
43	так в	1	1
44	других и	1	1
45	самом деле	1	1
46	под влиянием	1	1
47	старых и	1	1
48	по поводу	1	1
49	и т.д	1	1
50	ведь дело	1	1
51	все дело	1	1
52	и том	1	1
53	чем больше	1	1
54	бы уже	1	1
55	как говорили	1	1
56	и то	1	1
57	имеется в	1	1
