N	3gram	Nazirov_Tr_1	Psycholo
1	в самом деле	1	18
2	в том что	2	11
3	и в самом	2	10
4	с самого начала	1	6
5	и т п	1	5
6	о том что	2	3
7	и в этом	1	3
8	и то что	1	3
9	в таком виде	1	2
10	смысле этого слова	1	2
11	к тому что	1	2
12	и как бы	2	2
13	может быть не	1	2
14	и вместе с	1	2
15	то что он	1	2
16	во всяком случае	1	2
17	в данном случае	2	2
18	по сравнению с	1	1
19	но гораздо больше	1	1
20	в той же	1	1
21	всяких прикрас и	1	1
22	что именно на	1	1
23	не только не	1	1
24	и при этом	1	1
25	что в ней	1	1
26	а между тем	1	1
27	в стихах и	1	1
28	бросается в глаза	2	1
29	мы отнюдь не	1	1
30	что он не	1	1
31	мы понимаем что	1	1
32	не может быть	1	1
33	между этими двумя	2	1
34	что в таком	1	1
35	в разговоре с	1	1
36	в отличие от	2	1
37	возьмем ли мы	1	1
38	согласиться с его	1	1
39	не только нет	1	1
40	но все же	2	1
41	в высшей степени	1	1
42	и все же	1	1
43	как и все	1	1
44	в применении к	1	1
45	с тем и	1	1
