N	3gram	Tiupa_Hudo_1	KulturaY
1	в том что	7	10
2	в русском языке	1	9
3	с точки зрения	3	8
4	для того чтобы	2	8
5	с другой стороны	5	7
6	по крайней мере	1	6
7	в этом смысле	3	5
8	тем не менее	3	5
9	не может быть	3	4
10	точки зрения в	1	3
11	точно так же	1	3
12	в связи с	1	3
13	то же время	5	3
14	в то же	5	3
15	в соответствии с	1	2
16	в этом случае	1	2
17	языка но и	1	2
18	том случае если	1	2
19	в данном отношении	1	2
20	с этой точки	1	2
21	то или иное	1	2
22	в том случае	1	2
23	дело не в	1	2
24	в таких случаях	1	2
25	так же как	1	2
26	к вопросу о	1	2
27	и потому что	1	2
28	в отличие от	7	2
29	и в том	1	2
30	этой точки зрения	1	2
31	в свою очередь	2	2
32	того или иного	3	2
33	и в самом	1	2
34	в конечном счете	5	2
35	можно сказать что	3	2
36	мы говорим о	1	2
37	так или иначе	3	2
38	я думаю что	1	1
39	речи с ее	1	1
40	в виду не	3	1
41	состоит в том	5	1
42	иметь в виду	1	1
43	а не с	1	1
44	прежде всего в	1	1
45	могла бы послужить	1	1
46	в настоящее время	1	1
47	в том и	2	1
48	тот или иной	2	1
49	в иных случаях	1	1
50	можно говорить о	1	1
51	что он не	1	1
52	бы то ни	1	1
53	сказать что для	1	1
54	виду не только	3	1
55	только то что	1	1
56	но он не	2	1
57	состоит не в	1	1
58	в той мере	1	1
59	том или ином	1	1
60	одном и том	1	1
61	может быть и	2	1
62	нашем языковом сознании	1	1
63	как будто по	1	1
64	не только такие	1	1
65	в значительной степени	1	1
66	в том или	1	1
67	здесь сводится к	1	1
68	то ни было	1	1
69	с одной стороны	2	1
70	и том же	1	1
71	не более чем	1	1
72	в известном смысле	1	1
73	не могут быть	1	1
74	и в этой	1	1
75	а на деле	2	1
76	едва ли не	1	1
77	приводит к тому	2	1
78	в противном случае	2	1
79	в виду что	1	1
80	по содержанию своему	1	1
81	в нашем языковом	1	1
82	вследствие того что	1	1
83	мере в какой	1	1
84	тем или иным	1	1
85	в одном и	1	1
86	есть не что	1	1
87	заключается в том	1	1
88	в то время	1	1
89	может быть это	1	1
90	как и в	1	1
91	если мы имеем	1	1
92	о том что	1	1
93	и прежде всего	1	1
94	что иное как	1	1
95	они ни были	1	1
96	как впрочем и	1	1
97	к тому что	2	1
98	в силу своей	1	1
99	не что иное	1	1
100	той мере в	1	1
101	тех или иных	2	1
102	сама по себе	2	1
103	в узком и	1	1
104	эти могут быть	1	1
105	в данный момент	2	1
106	к тому же	1	1
107	которая выше была	1	1
