N	3gram	Nazirov_Tr_1	RusskieA
1	в том что	2	18
2	в этом случае	1	6
3	в данном случае	2	6
4	о том что	2	4
5	в отличие от	2	3
6	не может быть	1	3
7	в таком виде	1	2
8	бросается в глаза	2	2
9	в своей книге	1	2
10	то и дело	1	2
11	после того как	1	2
12	тем не менее	1	2
13	она как бы	1	1
14	это и есть	1	1
15	и жизнь и	1	1
16	в этой связи	1	1
17	играют никакой роли	1	1
18	ко всему что	1	1
19	и в этом	1	1
20	к жизни столь	1	1
21	а между тем	1	1
22	как и в	1	1
23	вызвать к жизни	1	1
24	а на другой	1	1
25	с того что	1	1
26	в применении к	1	1
27	не играют никакой	1	1
28	этом случае как	1	1
29	смысле этого слова	1	1
30	в точности соответствует	1	1
31	ее к себе	1	1
32	этим объясняется и	1	1
33	может быть не	1	1
34	во всяком случае	1	1
35	с тем и	1	1
