N	3gram	Bakhtin_sl_2	StatiiOP
1	в том что	4	11
2	и т п	33	6
3	не может быть	15	5
4	о том что	1	4
5	с другой стороны	1	4
6	в этом отношении	3	4
7	с точки зрения	3	4
8	как например в	1	4
9	во всяком случае	2	4
10	в мировой литературе	2	3
11	в то же	4	3
12	то же время	4	3
13	на то что	1	3
14	не только в	2	3
15	в связи с	2	3
16	с одной стороны	5	2
17	с самого начала	1	2
18	и не в	1	2
19	до сих пор	2	2
20	между тем как	1	2
21	и др но	1	2
22	во всех этих	1	2
23	но все же	4	2
24	но и в	1	2
25	в этих формах	2	2
26	все более и	1	2
27	тем не менее	1	2
28	более и более	1	2
29	и т д	2	2
30	всегда в той	1	1
31	в чем же	1	1
32	в лучшем случае	1	1
33	на протяжении всего	1	1
34	можно сказать так	1	1
35	в собственном смысле	3	1
36	xix века на	1	1
37	а лишь о	1	1
38	это не может	1	1
39	не только не	1	1
40	подчеркнуть что в	1	1
41	но может быть	1	1
42	форм всегда стремится	1	1
43	отношение к слову	1	1
44	на этой почве	1	1
45	говорит о том	1	1
46	иметь в виду	1	1
47	в другом случае	1	1
48	т п но	2	1
49	тем или иным	1	1
50	в той или	3	1
51	тем как в	1	1
52	вместе с ним	1	1
53	и ни в	1	1
54	речь идет о	1	1
55	там где они	2	1
56	и может быть	1	1
57	проявляется в том	1	1
58	таким образом в	1	1
59	выступает здесь как	1	1
60	более или менее	2	1
61	связанные с этим	1	1
62	в свою очередь	2	1
63	той или иной	5	1
64	не менее в	1	1
65	в применении к	1	1
66	все же он	1	1
67	и своеобразное место	1	1
68	с ним и	1	1
69	т п в	2	1
70	как мы видели	1	1
71	в этом направлении	1	1
72	даже там где	1	1
73	в виде вставных	1	1
74	не может не	1	1
75	в этом жанре	1	1
76	для того чтобы	2	1
77	том что он	1	1
78	а не в	1	1
79	в известной степени	1	1
80	несколько слов о	2	1
