N	4gram	Trubetskoy_1	slovoVRo
1	в то же время	2	12
2	в каждый данный момент	3	4
3	и в том и	1	2
4	одно и то же	1	2
5	в то время как	1	2
6	и в другом случае	1	2
7	том и в другом	1	2
8	в том и в	1	2
9	бы то ни было	2	1
10	дело в том что	1	1
11	с самого начала в	1	1
12	таким образом в каждый	1	1
13	во всяком случае за	1	1
14	но с другой стороны	1	1
15	с этой точки зрения	1	1
16	одной и той же	1	1
17	образом в каждый данный	1	1
18	в данном случае не	1	1
19	и с точки зрения	1	1
20	о которых мы говорили	3	1
