N	4gram	Vygotskiy__7	Myslijsy
1	одно и то же	3	5
2	одним и тем же	2	3
3	только в том что	1	2
4	одной и той же	2	2
5	в том что он	2	2
6	и то же слово	1	2
7	возможно только после того	1	1
8	только после того как	1	1
9	собственном смысле этого слова	3	1
10	если бы мы могли	1	1
11	таким образом значение слова	1	1
12	такая же иллюзия как	1	1
13	с одной стороны и	3	1
14	друг с другом и	1	1
15	есть такая же иллюзия	1	1
16	имеет ближайшее отношение к	1	1
17	в то время как	2	1
18	не только не есть	1	1
19	в силу того что	1	1
20	но вместе с тем	1	1
21	в том что она	2	1
22	заключается в том что	4	1
23	в том что это	1	1
24	в собственном смысле этого	3	1
