N	2gram	Medvedev_B_1	StatiiOP
1	и в	1	44
2	что в	1	30
3	не только	1	18
4	было бы	1	17
5	и не	2	16
6	а не	1	16
7	в области	1	14
8	в данном	1	14
9	можно было	2	13
10	у нас	3	11
11	с другой	1	9
12	так и	1	9
13	все же	1	8
14	таким образом	1	7
15	прежде всего	1	7
16	другой стороны	1	7
17	во всяком	1	6
18	в своей	1	6
19	на самом	1	6
20	всяком случае	1	6
21	совершенно не	1	5
22	стр и	2	5
23	все это	2	5
24	вопрос о	1	4
25	не было	1	4
26	на стр	2	4
27	тем более	1	4
28	стр в	1	4
29	как будто	1	4
30	еще не	1	3
31	должна быть	1	3
32	меньшей мере	1	3
33	не все	1	3
34	по меньшей	1	3
35	об этом	1	3
36	будто бы	1	3
37	в ней	2	3
38	говорить о	1	2
39	больше чем	2	2
40	более что	1	2
41	и во	1	2
42	за пределы	1	2
43	на которой	1	2
44	следовало бы	1	2
45	точно и	1	2
46	крайней мере	1	2
47	и потому	1	2
48	в эпоху	1	2
49	по крайней	1	2
50	о них	1	2
51	что все	1	2
52	и более	1	2
53	литературы поэтика	1	1
54	его не	1	1
55	кроме того	1	1
56	нас еще	1	1
57	заслуживает всяческого	1	1
58	одной из	1	1
59	томашевского и	1	1
60	то как	1	1
61	чем на	1	1
62	ее задач	2	1
63	значительной степени	1	1
64	отметить также	1	1
65	г стр	1	1
66	чтобы можно	1	1
67	и о	1	1
68	бы только	1	1
69	в научном	1	1
70	ясного и	1	1
71	видеть в	2	1
72	не о	1	1
73	зато очень	1	1
74	работа по	1	1
75	стих и	1	1
76	создает впечатление	1	1
77	художественного произведения	1	1
78	и на	1	1
79	до конца	1	1
80	далеко не	1	1
81	стиля и	1	1
82	только более	1	1
83	если таким	1	1
84	по отдельным	1	1
