N	4gram	Potebnia_M_3	Vladivir
1	только в том случае	1	3
2	с одной стороны и	1	2
3	как мы видели выше	1	2
4	сводится к тому что	1	2
5	в то же время	5	2
6	в то время как	1	2
7	одно и то же	5	1
8	и в таком случае	1	1
9	лишь в том что	1	1
10	как мы ее понимаем	1	1
11	заключается в том что	1	1
12	в том случае когда	1	1
13	то к чему стремится	1	1
14	зависит не только от	1	1
15	и в том что	2	1
16	таким а не другим	1	1
17	в том что это	1	1
18	в том что и	1	1
19	в том что он	2	1
20	но что же именно	1	1
21	но вместе с тем	1	1
22	а вместе с тем	1	1
