N	4gram	Vinokur_Vv_1	Problema
1	и тем не менее	3	3
2	в том виде как	1	2
3	не сам по себе	1	2
4	не что иное как	4	2
5	только в том что	1	2
6	отчет в том что	1	2
7	не только в том	1	2
8	есть не что иное	2	2
9	также и то что	1	1
10	если принять во внимание	1	1
11	и говорить о том	1	1
12	заключается не только в	1	1
13	с точки зрения которой	1	1
14	заключается в том что	2	1
15	и т д и	1	1
16	одном и том же	1	1
17	только в том чтобы	1	1
18	себе полный отчет в	1	1
19	то более то менее	1	1
20	в одном и том	1	1
21	приходит к выводу что	1	1
22	по самой своей природе	2	1
23	мы имеем дело с	1	1
24	бы то ни было	1	1
25	нечего и говорить о	1	1
26	с этой точки зрения	1	1
27	мы имеем в виду	1	1
28	не говоря уже о	1	1
29	уже потому что он	1	1
30	заключается в том чтобы	1	1
31	говорить о том что	1	1
32	совершенно то же самое	1	1
33	дело в том что	2	1
34	и т д мы	1	1
35	том виде как он	1	1
36	отдать себе отчет в	1	1
