N	3gram	Nazirov_Tr_1	Problema
1	тем не менее	1	10
2	в том что	2	9
3	и то что	1	7
4	в связи с	1	7
5	в данном случае	2	7
6	и в этом	1	6
7	сам по себе	1	6
8	во всяком случае	1	6
9	в этом случае	1	5
10	не может быть	1	5
11	в то же	5	4
12	в конце концов	1	3
13	о том что	2	3
14	самостоятельное значение и	1	3
15	точно так же	2	3
16	целесообразностью без цели	1	2
17	по сравнению с	1	2
18	и в частности	2	2
19	и как бы	2	2
20	отнюдь не является	1	2
21	в отличие от	2	2
22	в чем же	1	1
23	она как бы	1	1
24	может быть в	1	1
25	это и есть	1	1
26	в виду не	1	1
27	виде и что	1	1
28	так и в	3	1
29	не скажет что	1	1
30	как и в	1	1
31	но несмотря на	1	1
32	не только не	1	1
33	в той же	1	1
34	смысле этого слова	1	1
35	к тому что	1	1
36	бросается в глаза	2	1
37	никто не скажет	1	1
38	перед нами на	1	1
39	выходящее за пределы	1	1
40	связаны между собой	1	1
41	может быть не	1	1
42	что он не	1	1
43	но это уже	1	1
44	имеет в виду	1	1
45	чем он сам	1	1
46	в самом деле	1	1
47	но при этом	1	1
48	все же не	1	1
49	необходимо подчеркнуть что	1	1
50	для чего же	1	1
51	и все же	1	1
52	том что он	1	1
53	друг друга и	1	1
54	в третий раз	1	1
