N	4gram	Nazirov_Tv_1	Problemy
1	в то же время	12	10
2	но в то же	4	4
3	мы уже говорили что	1	3
4	бы то ни было	1	3
5	одна и та же	1	2
6	и в то же	1	2
7	на протяжении всего романа	1	2
8	разбиваю ретроградов под аустерлицем	1	1
9	в раннем творчестве достоевского	1	1
10	уже в бедных людях	1	1
11	на самом деле рассказ	1	1
12	и в других романах	1	1
13	а я иду босой	1	1
14	все более и более	1	1
15	я иду босой и	1	1
16	новые идеи и разбиваю	1	1
17	одного и того же	1	1
18	то же время он	2	1
19	и разбиваю ретроградов под	1	1
20	дело в том что	3	1
21	все плачут и целуют	1	1
22	иду босой и голодный	1	1
23	идеи и разбиваю ретроградов	1	1
24	в записках из подполья	2	1
