N	3gram	Nazirov_Tv_1	Myslijsy
1	в том что	6	7
2	сами по себе	1	7
3	одного и того	1	6
4	в свою очередь	1	6
5	и того же	1	6
6	тем не менее	2	5
7	по крайней мере	2	5
8	и в свою	1	4
9	заключает в себе	1	4
10	до сих пор	1	4
11	то и другое	1	4
12	с одной стороны	1	3
13	и т п	2	3
14	и т д	1	3
15	то есть не	2	3
16	не могут быть	1	3
17	с самого начала	3	2
18	что в душе	1	2
19	с другой стороны	1	2
20	на самом деле	2	2
21	то же время	12	2
22	нам кажется что	1	2
23	то что в	1	2
24	в то же	13	2
25	но только не	1	1
26	о том что	5	1
27	бы то ни	1	1
28	но эти слова	1	1
29	если так можно	1	1
30	к мысли о	1	1
31	мысли и не	1	1
32	как и в	1	1
33	между человеком и	1	1
34	и тем не	1	1
35	так можно выразиться	1	1
36	что оно не	1	1
37	потому что не	1	1
38	но это не	1	1
39	друг на друга	1	1
40	то ни было	1	1
41	это не противоречит	1	1
42	и в других	1	1
43	то к чему	1	1
44	что в каждом	1	1
45	бы и в	1	1
46	то все это	1	1
47	очень важную роль	1	1
48	самого начала и	1	1
49	могут быть названы	1	1
50	в отличие от	1	1
51	вряд ли можно	1	1
52	и в самом	1	1
53	в каждом человеке	2	1
54	далеко не сразу	1	1
55	в связи с	1	1
56	он вовсе не	1	1
57	имеет место в	1	1
58	что у него	1	1
59	вместе с тем	1	1
60	в наше время	2	1
61	и как бы	1	1
62	прежде всего на	1	1
63	дело в том	3	1
64	не повторяет в	1	1
65	это как бы	3	1
66	что же касается	1	1
67	не то что	1	1
