N	4gram	Voloshinov_1	TeoriaLi
1	в то же время	1	6
2	одно и то же	2	2
3	по отношению к герою	1	2
4	мы имеем дело с	1	1
5	мы имеем в виду	1	1
6	незаместимое место в событии	1	1
7	притом двустороннюю позицию в	1	1
8	отношению к автору и	1	1
9	свое незаместимое место в	1	1
10	в нем по отношению	1	1
11	творчества он должен занимать	1	1
12	должен занимать особую притом	1	1
13	бы то ни было	3	1
14	позицию в нем по	1	1
15	но в то же	1	1
16	место в событии художественного	1	1
17	занимать особую притом двустороннюю	1	1
18	случае мы имеем дело	1	1
19	к автору и по	1	1
20	в том что в	1	1
21	автору и по отношению	1	1
22	в событии художественного творчества	1	1
23	особую притом двустороннюю позицию	1	1
24	дело в том что	4	1
25	двустороннюю позицию в нем	1	1
26	художественного творчества он должен	1	1
27	нем по отношению к	1	1
28	бы они ни были	1	1
29	по отношению к автору	1	1
30	он должен занимать особую	1	1
31	событии художественного творчества он	1	1
32	и по отношению к	3	1
33	имеем в виду не	1	1
34	ни в коем случае	1	1
