N	3gram	Berdyaev_O_1	KFilosof
1	не может быть	2	11
2	и в этом	2	3
3	это не есть	1	3
4	бы он ни	1	2
5	он ни был	1	2
6	и все эти	1	2
7	в том что	1	2
8	и не быть	1	2
9	а не в	2	2
10	бы и не	1	2
11	не было и	1	1
12	и вопрос о	1	1
13	но и тут	1	1
14	в том случае	1	1
15	и не в	1	1
16	смысле этого слова	1	1
17	для того чтобы	3	1
18	потому что в	1	1
19	на то что	1	1
20	все что есть	1	1
21	люди а не	1	1
22	само по себе	1	1
23	и в его	1	1
24	не растворяется в	1	1
25	и то что	1	1
26	вместо того чтобы	1	1
27	на своем я	1	1
28	во всяком случае	1	1
29	в отношении ко	1	1
30	и вложена в	1	1
31	в этом мире	2	1
32	и в ее	1	1
33	в нем нет	3	1
34	не есть просто	1	1
35	и все же	1	1
36	любви к человеку	1	1
37	не в том	1	1
38	никогда не было	2	1
