N	3gram	Propp_Russ_2	Literetu
1	в отличие от	3	5
2	в этом отношении	1	5
3	о том что	4	4
4	с одной стороны	2	4
5	в том что	18	4
6	в данном случае	6	4
7	не может быть	3	3
8	подобно тому как	3	2
9	к жизни в	1	2
10	из того что	1	2
11	с другой стороны	1	2
12	но и в	1	2
13	в том чтобы	2	2
14	на то что	1	2
15	как например в	1	2
16	состоит в том	13	2
17	это и есть	1	1
18	во всех других	1	1
19	в этой связи	1	1
20	вопрос о том	1	1
21	о том как	1	1
22	нас в данном	1	1
23	в первую очередь	1	1
24	в другом месте	1	1
25	но это не	1	1
26	для того чтобы	6	1
27	тому как в	2	1
28	между тем как	1	1
29	но не только	1	1
30	одно из наиболее	1	1
31	не что иное	2	1
32	для него не	1	1
33	более или менее	1	1
34	то что в	1	1
35	может быть не	1	1
36	может быть только	2	1
37	том что они	1	1
38	что иное как	2	1
39	по аналогии с	1	1
40	и в том	1	1
41	там где есть	1	1
42	с того что	1	1
43	вместе с тем	4	1
44	тем не менее	2	1
45	в свою очередь	1	1
46	на первый взгляд	1	1
