N	4gram	Voloshinov_1	Problema
1	не что иное как	2	4
2	то же самое время	2	4
3	в то же самое	2	4
4	есть не что иное	2	4
5	одно и то же	3	3
6	и в этом случае	1	3
7	мы имели в виду	2	1
8	в таких словах как	1	1
9	только благодаря тому что	1	1
10	возникновения и развития языка	1	1
11	одного и того же	1	1
12	но возможно также и	1	1
13	в собственном смысле слова	1	1
14	само по себе не	1	1
15	прежде всего мы должны	1	1
16	как бы мы ни	2	1
17	бросается в глаза и	1	1
18	тех случаях когда мы	1	1
19	на то или иное	1	1
20	только тогда когда мы	1	1
21	и не было бы	1	1
22	мы уже видели что	1	1
23	в тех случаях когда	2	1
