N	4gram	Trubetskoy_1	Formalny
1	в то же время	2	7
2	бы то ни было	2	4
3	и не может быть	1	3
4	мы уже знаем что	1	2
5	нет и не может	1	2
6	и в том же	1	1
7	в том что они	1	1
8	в том числе и	1	1
9	в каждый данный момент	3	1
10	с этой точки зрения	1	1
11	о которых идет речь	3	1
12	одной и той же	1	1
13	не в том что	1	1
14	в том или ином	1	1
15	что в данном случае	1	1
16	с точки зрения одной	1	1
17	но и помимо этого	1	1
18	одного и того же	3	1
19	только в этом случае	1	1
20	в самом деле ведь	1	1
21	дело в том что	1	1
22	что же касается до	2	1
