N	3gram	Savitsky_P_1	KFilosof
1	не может быть	1	11
2	с точки зрения	3	10
3	в этом смысле	1	3
4	и в этом	1	3
5	не было бы	1	3
6	в то же	7	2
7	в том что	4	2
8	ни к чему	1	2
9	то же время	7	2
10	и тем самым	1	1
11	нет сомнения что	1	1
12	в большинстве случаев	1	1
13	нужно помнить что	2	1
14	и именно в	1	1
15	и в то	2	1
16	но в то	1	1
17	с разных точек	1	1
18	бы оно ни	1	1
19	в известном смысле	1	1
20	для того чтобы	1	1
21	всей полноте и	1	1
22	во всей полноте	1	1
23	весь мир в	1	1
24	само по себе	1	1
25	но в этом	1	1
26	и то что	1	1
27	значило бы что	1	1
28	хотя бы и	1	1
29	в настоящее время	1	1
30	во всяком случае	1	1
31	в нем в	1	1
32	знать что и	1	1
33	в этом мире	1	1
34	сводится к следующему	1	1
35	же время есть	1	1
36	все это в	1	1
37	вместе с тем	1	1
38	не в том	1	1
