N	3gram	Medvedev_S_1	DiskursI
1	в том что	2	13
2	с одной стороны	1	9
3	по отношению к	2	9
4	то же время	1	4
5	в то же	1	3
6	а с другой	1	3
7	далеко еще не	1	3
8	не в том	2	3
9	а в том	1	2
10	в строгом значении	1	2
11	сказать и о	1	2
12	то же самое	1	2
13	в наше время	1	2
14	по крайней мере	1	2
15	это и есть	1	1
16	это как будто	1	1
17	о том как	1	1
18	что в них	1	1
19	в связи с	1	1
20	тем более не	1	1
21	и в то	1	1
22	в противном случае	1	1
23	дело не в	2	1
24	в конечном счете	1	1
25	только то что	1	1
26	в том и	1	1
27	именно в том	1	1
28	во всяком случае	1	1
