N	2gram	Medvedev_I_1	Analitik
1	в этом	2	18
2	и в	1	16
3	так и	1	15
4	и не	2	12
5	ничего не	2	9
6	в целом	1	8
7	не случайно	1	8
8	а также	1	7
9	говорить о	1	6
10	с другой	1	6
11	того же	1	4
12	отношению к	1	4
13	все это	1	4
14	не так	1	4
15	для него	1	4
16	по отношению	1	4
17	бы в	1	3
18	как о	1	3
19	а в	1	3
20	в эту	1	3
21	и сам	1	3
22	автора и	1	3
23	никогда не	1	3
24	тем что	1	3
25	по поводу	1	3
26	если бы	1	3
27	в значительной	1	2
28	на котором	1	2
29	что в	2	2
30	того что	1	2
31	стало быть	1	2
32	о жизни	1	2
33	них не	1	2
34	это было	1	2
35	другой стороны	1	2
36	он не	2	2
37	как смерть	1	2
38	по существу	1	2
39	себя в	1	2
40	все эти	1	1
41	первую очередь	1	1
42	самого себя	2	1
43	тех же	1	1
44	в первую	1	1
45	ибо и	1	1
46	и тот	1	1
47	нисколько не	1	1
48	то и	1	1
49	в художественном	1	1
50	с а	1	1
51	но когда	1	1
52	вплоть до	1	1
53	было не	1	1
54	только что	1	1
55	неудивительно что	1	1
56	он с	1	1
57	другое дело	1	1
58	и о	1	1
59	следующим образом	1	1
60	очевидно что	1	1
61	в них	1	1
62	с героем	1	1
63	точно и	1	1
64	с жизнью	1	1
65	я не	1	1
66	не слишком	1	1
67	только для	1	1
68	то она	1	1
69	что при	1	1
