N	3gram	Savitsky_P_1	Istorich
1	и т д	1	18
2	мы знаем что	1	10
3	в том что	4	5
4	вместе с тем	1	5
5	так же как	1	4
6	не только в	4	4
7	с одной стороны	3	3
8	мы не будем	1	2
9	с другой стороны	1	2
10	не может быть	1	2
11	вопрос о смысле	1	2
12	но и в	2	2
13	то что происходит	1	1
14	в отдельности и	1	1
15	том что в	1	1
16	если мы не	1	1
17	как одна из	1	1
18	в том мире	1	1
19	и пр в	1	1
20	жизни она всегда	1	1
21	и не только	2	1
22	выражается в том	1	1
23	за то что	1	1
24	но и другие	1	1
25	в отличие от	1	1
26	для них и	1	1
27	мы видим в	1	1
28	но в отличие	1	1
29	друг с другом	1	1
30	в ней и	1	1
31	в себя воздух	1	1
