N	4gram	Bakhtin_sl_2	Marksizm
1	в то же время	4	8
2	но в то же	3	5
3	форм передачи чужой речи	2	4
4	в той или иной	3	3
5	с одной стороны и	3	2
6	формах передачи чужой речи	1	2
7	все более и более	1	2
8	той или иной степени	3	2
9	в том что он	1	2
10	языка не может быть	2	1
11	не с точки зрения	1	1
12	в том числе и	1	1
13	и связанные с этим	1	1
14	в той же сфере	1	1
15	с точки зрения другого	1	1
16	формы передачи чужой речи	1	1
17	тем не менее в	1	1
18	разрыв между языком и	3	1
19	в нем новые стороны	1	1
20	и не может быть	1	1
21	с той или иной	1	1
22	в различных социальных группах	1	1
23	в точном смысле слова	1	1
24	языка и языкового сознания	1	1
25	чтобы проникнуть в его	1	1
26	можно прямо сказать что	2	1
27	имеет громадное значение и	1	1
28	во всех этих случаях	1	1
29	никогда не может быть	2	1
30	то одни то другие	1	1
31	же время это и	1	1
32	прямой и косвенной речи	1	1
33	в отношении к нему	1	1
34	то же время это	2	1
35	как мы уже сказали	1	1
