N	4gram	Losev_Prob_4	Vladivir
1	дело в том что	1	4
2	и в то же	1	2
3	о том что он	1	2
4	а иной раз даже	1	2
5	еще и потому что	1	2
6	ни в каком случае	3	1
7	и вместе с тем	1	1
8	ни в чем не	1	1
9	и ни в чем	1	1
10	не содержит в себе	1	1
11	бы то ни было	1	1
12	достаточно указать хотя бы	1	1
13	иной раз даже и	1	1
14	в каком случае не	3	1
15	на самом же деле	2	1
16	не говоря уже о	1	1
17	здесь мы имеем дело	2	1
18	мы имеем дело с	1	1
19	в то время как	2	1
20	за то что тот	1	1
21	заключается в том чтобы	1	1
22	но даже и с	1	1
23	мы должны сказать что	1	1
24	не что иное как	2	1
25	также и то что	1	1
26	указать хотя бы на	1	1
27	мы укажем только на	1	1
28	в чем не заинтересованного	1	1
29	есть не что иное	2	1
