1	в том что	8	18
2	состоит в том	4	13
3	в данном случае	6	6
4	для того чтобы	1	6
5	и в других	1	4
6	так же как	2	4
7	о том что	4	4
8	в отличие от	5	3
9	не может быть	2	3
10	в xix в	1	3
11	подобно тому как	2	3
12	это пока еще	1	2
13	с одной стороны	5	2
14	не что иное	1	2
15	тем не менее	4	2
16	умирающего и воскресающего	1	2
17	может быть только	1	2
18	на другой день	1	2
19	что иное как	1	2
20	в то время	1	2
21	пока еще не	1	2
22	по его мнению	1	1
23	на первый взгляд	1	1
24	представляет собой очень	1	1
25	тем более что	1	1
26	все то что	2	1
27	к новой жизни	1	1
28	не может не	1	1
29	но и в	2	1
30	по аналогии с	1	1
31	одна из наиболее	1	1
32	к жизни в	1	1
33	не входит в	1	1
34	можно было бы	1	1
35	а между тем	1	1
36	то время как	1	1
37	во всяком случае	1	1
38	в этом отношении	3	1
39	с того что	1	1
40	не непосредственно а	1	1
41	более или менее	1	1
42	с таким же	1	1
43	в церкви и	1	1
44	иметь в виду	1	1
45	как символ бессмертия	1	1
46	у нас нет	2	1
47	как он полагал	1	1
48	можно сказать что	3	1
49	по своему происхождению	1	1
50	фаза в развитии	1	1
51	здесь мы имеем	1	1
