N	3gram	Berdyaev_O_1	Myslijsy
1	в том что	1	16
2	смысле этого слова	1	7
3	сам по себе	1	5
4	не в том	1	5
5	от того что	1	5
6	заключает в себе	1	5
7	но и в	2	4
8	для того чтобы	3	3
9	само по себе	1	3
10	не может быть	2	3
11	в человеческой душе	1	2
12	не могут быть	2	2
13	как и в	1	2
14	и в том	1	2
15	или лучше сказать	1	2
16	к нему как	1	2
17	и в самом	1	2
18	в этом отношении	1	2
19	есть одно из	1	2
20	о том что	1	1
21	в том случае	1	1
22	друг с другом	1	1
23	еще ничего но	1	1
24	потому что в	1	1
25	строгом смысле этого	1	1
26	всего что есть	1	1
27	бросается в глаза	1	1
28	вообще но и	1	1
29	приходит в голову	1	1
30	чтобы иметь право	1	1
31	и то что	1	1
32	никто не имеет	1	1
33	было для него	1	1
34	мысль о любви	1	1
35	в одно время	1	1
36	на то что	1	1
37	прежде всего он	1	1
38	не в силах	1	1
39	может быть назван	1	1
40	и в ее	1	1
41	в строгом смысле	1	1
42	от человека к	1	1
43	в самом деле	1	1
44	у него в	5	1
45	а не в	2	1
46	после того как	1	1
47	это было бы	2	1
48	и все что	1	1
49	в этих словах	1	1
50	который в них	1	1
51	человека и все	1	1
