N	3gram	Savitsky_P_1	Formalny
1	с точки зрения	3	14
2	не может быть	1	14
3	в то же	7	7
4	то же время	7	7
5	во всяком случае	1	6
6	и т д	1	6
7	с другой стороны	1	5
8	в большинстве случаев	1	4
9	для того чтобы	1	4
10	и не может	1	4
11	с тем же	1	3
12	в том что	4	3
13	вместе с тем	1	3
14	в этом смысле	1	2
15	и в то	2	2
16	именно потому что	1	2
17	да и не	1	2
18	сами по себе	3	2
19	в отличие от	1	2
20	и пр при	1	1
21	можно говорить о	1	1
22	с одной стороны	3	1
23	в отдельности и	1	1
24	так же как	1	1
25	и пр в	1	1
26	в которых совершается	1	1
27	бы оно ни	1	1
28	в собственном смысле	1	1
29	и потому в	2	1
30	хотя бы и	1	1
31	что в этом	1	1
32	тот или иной	1	1
33	в россии и	1	1
34	она может и	1	1
35	в настоящее время	1	1
36	не только в	4	1
37	в том числе	2	1
38	в частности в	1	1
39	настоящее время в	1	1
40	сводится к следующему	1	1
41	к следующему в	1	1
42	друг с другом	1	1
43	не в том	1	1
44	в ней и	1	1
45	том числе и	1	1
46	в отношении к	5	1
47	не входят в	1	1
