N	3gram	Vinokur_St_2	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	16	6
4	о том что	11	5
5	с самого начала	3	3
6	дело в том	4	3
7	на самом деле	1	2
8	том что в	2	2
9	в одной из	2	2
10	точно так же	1	2
11	в данном случае	1	2
12	и т п	3	2
13	тем не менее	2	2
14	не то что	1	1
15	заключается в том	1	1
16	в ту же	1	1
17	в в виноградов	1	1
18	что он сам	1	1
19	вряд ли можно	1	1
20	бы то ни	2	1
21	да и в	1	1
22	в связи с	1	1
23	в первую очередь	1	1
24	в основу сюжета	1	1
25	в том же	2	1
26	на этой почве	1	1
27	в конце концов	1	1
28	с другой стороны	3	1
29	до сих пор	5	1
30	то ни было	2	1
31	к тому же	2	1
32	в отличие от	2	1
33	дело не в	1	1
34	не мог не	1	1
35	к тому что	5	1
36	что он не	4	1
37	еще более резко	1	1
38	я не могу	1	1
39	каких бы то	1	1
40	за то что	2	1
41	и т д	6	1
42	по отношению к	1	1
43	но все это	2	1
44	ни на чем	1	1
45	в настоящее время	1	1
46	он не может	1	1
47	то что в	2	1
48	мысль о возможности	1	1
49	в известном смысле	1	1
50	того же порядка	1	1
51	что у него	1	1
52	вместе с тем	5	1
53	а как бы	1	1
54	о чем и	1	1
55	имел в виду	1	1
56	сами по себе	2	1
57	в котором все	1	1
58	таким образом уже	1	1
59	в отношении к	1	1
60	в свою очередь	1	1
61	что же касается	1	1
62	в стихах о	1	1
63	они забывали что	1	1
64	в прямом смысле	1	1
