1	только в том что	1	4
2	одной и той же	1	3
3	в то же время	3	3
4	но с другой стороны	1	2
5	в одном и том	1	2
6	дело в том что	1	2
7	не что иное как	1	2
8	все более и более	1	2
9	одном и том же	1	2
10	уже с самого начала	1	2
11	и т д в	1	1
12	точно так же как	2	1
13	не говоря уже о	2	1
14	не только в том	1	1
15	бы то ни было	1	1
16	и т д не	1	1
17	говоря уже о том	1	1
18	и с этой точки	1	1
19	с этой точки зрения	2	1
20	заключается в том что	1	1
21	и в том что	1	1
22	можно было бы сказать	1	1
23	в том только смысле	1	1
24	и в том и	1	1
25	и т п и	2	1
26	не только потому что	2	1
27	уже о том что	1	1
