N	3gram	Savitsky_P_1	Myshleni
1	с точки зрения	3	18
2	для того чтобы	1	15
3	в том что	4	15
4	с другой стороны	1	9
5	с одной стороны	3	8
6	заключается в том	2	6
7	так же как	1	5
8	по сравнению с	1	5
9	вопрос об отношении	1	5
10	в собственном смысле	1	5
11	вместе с тем	1	5
12	не может быть	1	5
13	друг с другом	1	4
14	и тем самым	1	3
15	во всяком случае	1	3
16	том что в	1	2
17	в то же	7	2
18	и в частности	1	2
19	тем и другим	1	2
20	есть прежде всего	1	2
21	то же время	7	2
22	в известном смысле	1	2
23	распадается на две	1	1
24	с тем чтобы	1	1
25	в том виде	1	1
26	что с точки	1	1
27	и именно в	1	1
28	и в то	2	1
29	заключает в себе	2	1
30	в основном и	1	1
31	в этом смысле	1	1
32	может не только	1	1
33	тем более что	1	1
34	в одно и	1	1
35	и в этом	1	1
36	во всей полноте	1	1
37	и не может	1	1
38	в наших глазах	1	1
39	и то что	1	1
40	и тем более	1	1
41	в отличие от	1	1
42	и в какой	1	1
43	не только в	4	1
44	если бы мы	1	1
45	в том числе	2	1
46	в качестве общего	1	1
47	между тем в	1	1
48	но и в	2	1
49	том числе и	1	1
50	само по себе	1	1
51	в некотором смысле	1	1
52	одной стороны и	2	1
53	не только как	1	1
54	и пр в	1	1
55	и т д	1	1
