N	4gram	Trubetskoy_1	Myshleni
1	заключается в том что	1	4
2	и вместе с тем	2	2
3	которых мы говорили выше	1	2
4	точно так же как	1	2
5	о которых мы говорили	1	2
6	и не может быть	1	1
7	в том числе и	1	1
8	в каждый данный момент	1	1
9	в свою очередь является	1	1
10	одну и ту же	1	1
11	и то и другое	1	1
12	точка зрения приводит к	1	1
13	бы друг с другом	1	1
14	что с точки зрения	1	1
15	друг с другом и	2	1
16	несмотря на то что	1	1
17	таким образом оказывается что	1	1
18	в этом и состоит	1	1
19	и во всяком случае	1	1
