1	и не	2	20
2	и в	1	19
3	в этом	2	17
4	а в	1	11
5	так и	1	9
6	с другой	1	8
7	а также	1	7
8	по отношению	1	7
9	отношению к	1	6
10	себя в	1	5
11	в основе	1	5
12	за границей	1	4
13	и с	3	4
14	другой стороны	1	4
15	а с	1	3
16	тем что	1	3
17	он не	2	3
18	что в	2	3
19	жизни и	1	3
20	никогда не	1	3
21	о ней	1	3
22	вплоть до	1	2
23	для него	1	2
24	все эти	1	2
25	а по	1	2
26	а если	1	2
27	то она	1	2
28	не случайно	1	2
29	его личности	1	2
30	и др	1	2
31	ничего не	2	2
32	и тот	1	2
33	после смерти	1	2
34	говорить о	1	2
35	в значительной	1	2
36	по существу	1	2
37	не кто	1	1
38	первую очередь	1	1
39	от этого	1	1
40	не дает	1	1
41	если бы	1	1
42	иной как	1	1
43	о жизни	1	1
44	жил в	1	1
45	бы все	1	1
46	остается как	1	1
47	с героем	1	1
48	по поводу	1	1
49	и со	1	1
50	в первую	1	1
51	и чрезвычайно	1	1
52	было не	1	1
53	кто иной	1	1
54	того же	1	1
55	очевидно что	1	1
56	это было	1	1
57	такого знания	1	1
58	как отец	1	1
59	и ничего	1	1
60	у всех	1	1
61	видит в	1	1
62	не так	1	1
63	при такой	1	1
64	понимания жизни	1	1
65	в них	1	1
66	в целом	1	1
67	как о	1	1
68	и сам	1	1
69	оказывается для	1	1
70	того что	1	1
71	еще одной	1	1
72	то и	1	1
73	со всеми	1	1
74	как только	1	1
75	в художественном	1	1
