N	4gram	Bakhtin_Pr_5	Myshleni
1	в то время как	1	5
2	одного и того же	1	4
3	мы могли бы сказать	1	2
4	друг к другу как	1	2
5	и т.д и в	1	1
6	том и в другом	1	1
7	смысле можно сказать что	1	1
8	то время как в	1	1
9	по отношению к другому	1	1
10	он сам по себе	1	1
11	его отношение к другим	1	1
12	в этом смысле можно	1	1
13	не видит того что	1	1
14	этом смысле можно сказать	1	1
15	и его отношение к	1	1
16	но в этом случае	1	1
17	он с самого начала	1	1
18	и по отношению к	1	1
19	в том и в	1	1
20	относятся друг к другу	1	1
