1	и в	1	31
2	и не	2	17
3	в этом	2	14
4	что в	2	14
5	и с	3	14
6	по поводу	1	12
7	он не	2	10
8	никогда не	1	9
9	с а	1	9
10	а в	1	9
11	для него	1	7
12	и и	1	7
13	так и	1	6
14	того же	1	6
15	это было	1	6
16	и сам	1	6
17	а с	1	5
18	все это	1	5
19	жизни и	1	5
20	это был	1	5
21	а также	1	5
22	я не	1	4
23	себя в	1	4
24	после смерти	1	4
25	что для	1	4
26	все эти	1	3
27	с другой	1	3
28	ничего не	2	3
29	и очень	1	3
30	другой стороны	1	3
31	в целом	1	3
32	был человек	1	2
33	того чтобы	1	2
34	а по	1	2
35	и о	1	2
36	во многом	1	2
37	только что	1	2
38	нисколько не	1	2
39	и тот	1	2
40	по существу	1	2
41	тем что	1	2
42	в них	1	2
43	тех же	1	2
44	того что	1	2
45	то и	1	2
46	от нее	1	2
47	для того	1	2
48	и еще	1	2
49	за границей	1	2
50	оба они	2	2
51	вплоть до	1	1
52	если бы	1	1
53	его полным	1	1
54	них не	1	1
55	со всеми	1	1
56	его личности	1	1
57	бы в	1	1
58	самого себя	2	1
59	когда его	1	1
60	он с	1	1
61	было не	1	1
62	и без	1	1
63	еще одной	1	1
64	пушкина и	1	1
65	значительной мере	1	1
66	нее и	1	1
67	и ничего	1	1
68	есть только	1	1
69	этим и	1	1
70	в значительной	1	1
71	ходить в	1	1
72	знакомство с	1	1
73	и создавал	1	1
74	нам в	1	1
75	человеке и	1	1
76	к отцу	1	1
77	факты и	1	1
78	всего творчества	1	1
79	как о	1	1
80	о ней	1	1
81	по отношению	1	1
82	к нам	1	1
83	для других	1	1
