N	3gram	Bakhtin_KF_1	RusskieA
1	в том что	2	18
2	для того чтобы	1	6
3	вместе с тем	1	4
4	только тогда когда	1	3
5	не может быть	11	3
6	мы не можем	1	2
7	а именно в	1	2
8	мы имеем не	1	2
9	может быть только	7	2
10	тем не менее	2	2
11	в том же	1	1
12	для нас важно	2	1
13	иной мир в	1	1
14	и связанных с	1	1
15	здесь мы имеем	2	1
16	ко всему что	1	1
17	но все это	1	1
18	и в этом	3	1
19	мы не имеем	1	1
20	должен быть признан	1	1
21	но может быть	1	1
22	всех этих случаях	1	1
23	но это не	1	1
24	может быть и	1	1
25	потому что в	1	1
26	на то что	1	1
27	между тем как	3	1
28	дело не в	1	1
29	не было ни	1	1
30	тем как оно	1	1
31	общего не имеет	1	1
32	в настоящее время	1	1
33	ничего общего не	2	1
34	в разные стороны	1	1
35	вопрос о том	2	1
36	смысле этого слова	1	1
37	и одна из	1	1
38	не может не	1	1
39	не отличаются от	1	1
40	дело в том	1	1
41	во всех этих	2	1
42	там где есть	1	1
43	во всяком случае	1	1
44	в свою очередь	1	1
45	одновременно и в	1	1
