N	4gram	Vinokur_Ku_2	VeschiIm
1	бы то ни было	1	9
2	не что иное как	1	8
3	и т д и	1	7
4	т д и т	1	7
5	есть не что иное	1	5
6	в то же время	3	4
7	можно ли сказать что	1	3
8	заключается в том что	1	2
9	уже не может быть	2	2
10	с этой точки зрения	2	2
11	дело в том что	1	2
12	также и то что	1	1
13	и т д в	1	1
14	смысле этого слова есть	1	1
15	как можно было бы	1	1
16	т е не только	1	1
17	о которых идет речь	1	1
18	и с другой стороны	1	1
19	не только потому что	2	1
20	видно уже из предыдущего	1	1
21	в качестве одного из	1	1
22	и тем не менее	4	1
23	какой бы то ни	1	1
24	в то время как	1	1
