N	4gram	Voloshinov_2	Formalny
1	в то же время	8	7
2	бы то ни было	4	4
3	не может быть понято	1	3
4	и не может быть	1	3
5	в данной социальной группе	1	2
6	с точки зрения самого	2	2
7	на самом же деле	3	2
8	одним и тем же	2	2
9	мы можем сказать что	1	1
10	бы оно ни было	1	1
11	так а не иначе	1	1
12	в том числе и	1	1
13	все более и более	2	1
14	на самом деле конечно	1	1
15	смысле этого слова и	1	1
16	эта проблема может быть	1	1
17	в собственном смысле слова	2	1
18	ни в коем случае	2	1
19	еще одно в высшей	1	1
20	высказывания и его конкретной	1	1
21	в коем случае не	1	1
22	высказывание в то же	1	1
23	следующей главе глава третья	1	1
24	с той или иной	1	1
25	в жизни и в	1	1
26	в неразрывной связи с	2	1
27	одно в высшей степени	1	1
28	в том что это	1	1
29	одного и того же	4	1
30	по себе в своей	1	1
31	сами по себе в	1	1
32	в следующей главе глава	1	1
33	каких бы то ни	1	1
34	отнюдь не сводится к	1	1
35	высказывание в том числе	1	1
36	дело в том что	1	1
37	и пр и пр	3	1
38	от высказывания и его	1	1
39	какой бы то ни	2	1
40	с нашей точки зрения	2	1
