N	2gram	Medvedev_B_1	Istorich
1	и в	1	25
2	не только	1	13
3	и не	2	11
4	все же	1	10
5	таким образом	1	9
6	с другой	1	9
7	что в	1	8
8	еще не	1	8
9	другой стороны	1	8
10	и на	1	8
11	прежде всего	1	6
12	в ней	2	5
13	все это	2	4
14	что все	1	4
15	в пределах	1	4
16	в книге	1	3
17	также что	1	3
18	его не	1	3
19	в данном	1	3
20	вопрос о	1	2
21	в своей	1	2
22	об этом	1	2
23	также не	1	2
24	совершенно не	1	2
25	на которой	1	2
26	и потому	1	2
27	а не	1	2
28	из своей	1	1
29	во всяком	1	1
30	стоит на	1	1
31	и ее	1	1
32	не было	1	1
33	должна быть	1	1
34	можно в	1	1
35	свое название	1	1
36	одной из	1	1
37	на самом	1	1
38	к ней	1	1
39	отнюдь не	1	1
40	не то	2	1
41	остановиться на	1	1
42	и о	1	1
43	всяком случае	1	1
44	по отдельным	1	1
45	нет но	1	1
46	со всем	1	1
47	не вполне	1	1
48	о них	1	1
49	было бы	1	1
50	никак не	1	1
51	как будто	1	1
52	и более	1	1
