N	4gram	Voloshinov_2	Freidism
1	в то же время	8	4
2	мы можем сказать что	1	3
3	в следующей главе глава	1	2
4	внутренней и внешней речи	1	2
5	бы то ни было	4	2
6	но в то же	5	2
7	а с другой –	1	2
8	и не может быть	1	2
9	но во всяком случае	1	2
10	может быть и речи	2	1
11	но тем не менее	1	1
12	не может обойтись без	1	1
13	на самом же деле	3	1
14	как мы уже знаем	2	1
15	в большинстве случаев только	1	1
16	в собственном смысле слова	2	1
17	той социальной группы к	1	1
18	как мы уже сказали	1	1
19	каких бы то ни	1	1
20	это не совсем так	1	1
21	и пр и пр	3	1
22	а может быть и	1	1
23	не может быть ничего	1	1
24	то же время это	1	1
25	что она слагается из	1	1
26	если бы он был	2	1
27	они не могут быть	1	1
28	в коем случае не	1	1
29	социальной группы к которой	1	1
30	сохранению и развитию ее	1	1
31	не может быть и	2	1
32	в свою очередь является	1	1
33	ни в коем случае	2	1
34	в таком случае это	2	1
35	к сохранению и развитию	1	1
36	в индивидуальную душу но	1	1
37	в гораздо большей степени	1	1
