N	4gram	Vygotskiy__5	VeschiIm
1	не что иное как	1	8
2	одно и то же	1	5
3	есть не что иное	1	5
4	заключается в том что	4	2
5	с этой точки зрения	4	2
6	подобно тому как в	3	1
7	с одной стороны и	1	1
8	как и во всяком	1	1
9	уже по одному этому	3	1
10	и вместе с тем	1	1
11	мы видим таким образом	1	1
12	но само по себе	1	1
13	в том смысле что	1	1
14	одному и тому же	2	1
15	видим таким образом что	1	1
16	к одному и тому	2	1
17	одного и того же	3	1
18	и не может понять	1	1
19	что в свою очередь	1	1
20	в том что он	2	1
21	то и другое есть	1	1
22	в то время как	4	1
