N	4gram	Bakhtin_Pr_1	formyVre
1	в то же время	3	4
2	не для того чтобы	1	2
3	и в то же	2	2
4	на протяжении всего романа	1	2
5	здесь в большинстве случаев	1	1
6	с прошлым и будущим	1	1
7	между вторым и третьим	1	1
8	может быть и должно	1	1
9	к себе самому к	1	1
10	быть и должно быть	1	1
11	и в этом отношении	1	1
12	на первый план выступает	1	1
13	ни в чем не	2	1
14	формы и прежде всего	1	1
15	но в то же	1	1
16	именно в том что	1	1
17	и как бы уже	1	1
18	не выходит за пределы	1	1
19	в то время как	1	1
20	и т п имеет	1	1
