N	3gram	Bakhtin_sl_1	RusskieA
1	в том что	1	18
2	для того чтобы	1	6
3	в этом случае	2	6
4	в данном случае	3	6
5	и т д	5	5
6	о том что	1	4
7	в отличие от	1	3
8	о том же	2	3
9	не может быть	1	3
10	с одной стороны	4	2
11	между тем это	1	2
12	в своей книге	1	2
13	на самом же	1	2
14	может быть только	2	2
15	самом же деле	1	2
16	тем не менее	1	2
17	в то время	2	2
18	не могла быть	1	1
19	не входит в	1	1
20	и связанных с	2	1
21	тем и другим	1	1
22	с таким же	1	1
23	прежде всего как	1	1
24	и в этом	2	1
25	и в том	2	1
26	но это не	1	1
27	может быть и	1	1
28	нас в данном	1	1
29	а между тем	2	1
30	ни с одним	1	1
31	они как бы	2	1
32	еще далеко не	1	1
33	как и в	1	1
34	каждый из этих	1	1
35	и все это	1	1
36	в одних случаях	1	1
37	можно было бы	2	1
38	за тридевять земель	1	1
39	таким образом в	3	1
40	более или менее	3	1
41	своей книге о	1	1
42	в этом отношении	1	1
43	них как в	1	1
44	можно сказать что	1	1
45	как мы видели	1	1
46	по аналогии с	1	1
47	не только на	2	1
48	или во всяком	2	1
49	но и в	1	1
50	не может не	5	1
51	с одним из	1	1
52	дело в том	1	1
53	то время как	2	1
54	в какой степени	1	1
55	может быть не	1	1
56	во всех этих	1	1
57	а иногда и	1	1
58	во всяком случае	5	1
59	в свою очередь	2	1
60	как мы уже	2	1
61	с другой стороны	4	1
62	одновременно и в	2	1
