N	2gram	Voloshinov_1	VeschiIm
1	не может	4	33
2	не только	1	31
3	может быть	1	29
4	и не	1	28
5	и в	3	26
6	а не	1	20
7	но и	1	12
8	и больше	1	10
9	то же	1	10
10	в ней	1	10
11	вещей и	1	9
12	больше ничего	1	9
13	смысл и	1	8
14	с другими	1	7
15	в то	1	7
16	точки зрения	1	6
17	для него	1	6
18	не менее	1	5
19	если бы	1	5
20	же время	1	4
21	нет и	1	4
22	с точки	1	4
23	и все	1	4
24	можно и	1	3
25	бы в	1	3
26	к тому	1	3
27	один из	2	3
28	мы видим	1	3
29	несмотря на	1	3
30	может не	1	2
31	может и	1	2
32	бы на	1	2
33	конечно и	1	2
34	и можно	1	2
35	в особенности	1	2
36	тому что	1	2
37	не из	1	2
38	его от	1	1
39	ничего кроме	1	1
40	явление если	1	1
41	себя от	1	1
42	анализа и	1	1
43	и заставляет	1	1
44	если в	2	1
45	этого общения	1	1
46	можно назвать	1	1
47	и тому	1	1
48	и на	1	1
49	общения и	2	1
50	и событий	1	1
51	на нее	1	1
