N	3gram	Berdyaev_V_1	Vladivir
1	в том что	2	9
2	по крайней мере	1	4
3	в конце концов	1	3
4	и вообще в	1	2
5	после того как	1	2
6	том что он	2	2
7	во что бы	1	1
8	что я не	1	1
9	бы то ни	1	1
10	и во всяком	1	1
11	того что он	1	1
12	что бы то	1	1
13	раз и навсегда	1	1
14	не понимает и	1	1
15	и в сознании	1	1
16	то ни стало	1	1
17	его личности и	1	1
18	вот в чем	1	1
19	все равно не	1	1
20	за то что	3	1
21	и т д	2	1
22	хотя бы от	1	1
23	но все же	1	1
24	русском самодержавии и	1	1
25	в первый раз	3	1
26	понимает и не	1	1
27	есть и великая	1	1
28	в русском самодержавии	1	1
29	вместе с тем	1	1
30	сознании и в	1	1
31	с богом и	1	1
32	и мы все	1	1
33	в том заключается	1	1
34	в сознании и	1	1
35	и хотя и	1	1
36	то что я	2	1
