N	4gram	Vinokur_St_1	KulturaY
1	той мере в какой	1	5
2	в той мере в	1	5
3	в том что он	1	3
4	в то же время	4	2
5	и в самом деле	2	2
6	д и т д	1	2
7	заключается в том что	2	2
8	и т д и	2	2
9	т д и т	1	2
10	я имею в виду	1	1
11	том-то и дело что	1	1
12	в начале xix века	1	1
13	в том-то и дело	1	1
14	только в том случае	1	1
15	и то обстоятельство что	1	1
16	и в то же	1	1
17	ср с другой стороны	2	1
18	ii и т д	1	1
19	но в том-то и	1	1
20	ничего не имел бы	1	1
21	в том смысле что	1	1
22	пушкин и его современники	1	1
23	вовсе не в том	1	1
24	я позволю себе в	1	1
25	не имел бы против	1	1
26	когда речь идет о	2	1
27	в том чтобы выяснить	1	1
28	что с точки зрения	1	1
29	только в применении к	1	1
30	в каждом из этих	1	1
31	указания на то что	1	1
32	того чтобы можно было	1	1
33	и т д разумеется	1	1
34	но с другой стороны	2	1
35	по отношению к своему	1	1
36	свидетельствует о том что	1	1
37	для того чтобы можно	1	1
38	совсем не в том	1	1
39	и т д почти	1	1
40	однако с другой стороны	1	1
41	не трудно видеть что	1	1
