N	3gram	Tiupa_Hudo_2	RusskieA
1	в том что	11	15
2	в xix в	1	10
3	и т д	2	9
4	состоит в том	2	8
5	том что в	3	6
6	в этом случае	1	5
7	о том что	7	4
8	к тому что	4	4
9	и в других	1	4
10	в настоящее время	1	3
11	с точки зрения	2	3
12	тем не менее	3	3
13	а иногда и	1	3
14	с этого момента	1	2
15	в это время	1	2
16	но тем не	2	2
17	но все же	1	2
18	все же не	1	2
19	после того как	1	2
20	не только для	1	1
21	подобно тому как	4	1
22	же состоит в	1	1
23	в таком случае	1	1
24	и не случайно	1	1
25	в одном из	1	1
26	приводит к тому	1	1
27	точно так же	1	1
28	и в этом	2	1
29	как и в	3	1
30	и в том	1	1
31	можно сказать что	1	1
32	как мы знаем	1	1
33	и т п	2	1
34	что и в	1	1
35	встречаются и в	1	1
36	в г было	1	1
37	только о том	1	1
38	тогда как в	2	1
39	можно судить по	1	1
40	так же как	2	1
41	на могилах и	1	1
42	в то время	1	1
43	можно было бы	2	1
44	по отношению к	7	1
45	по дороге на	1	1
46	в этой роли	1	1
47	не только в	2	1
48	как будто бы	2	1
49	в этом отношении	1	1
50	как это часто	1	1
51	о том же	1	1
52	дело не только	2	1
53	же как и	1	1
54	на другой день	2	1
55	сказывается и в	1	1
56	что не только	1	1
57	о том чтобы	1	1
58	и состоит в	1	1
59	в данном случае	2	1
60	эта как мы	1	1
61	в своего рода	1	1
