N	3gram	Kanaev_Sov_1	Analitik
1	в том что	1	6
2	в данном случае	1	5
3	по отношению к	1	4
4	с одной стороны	1	4
5	и в этом	1	4
6	в этом случае	1	4
7	по крайней мере	1	3
8	той или иной	1	3
9	тем не менее	2	3
10	в обоих случаях	1	2
11	в этом смысле	1	2
12	с точки зрения	5	2
13	в то же	1	2
14	можно было бы	1	2
15	а не только	1	2
16	в отличие от	2	2
17	то же время	1	2
18	в конечном счете	1	2
19	что иное как	1	1
20	как мы это	1	1
21	ли он в	1	1
22	и во всех	1	1
23	сами по себе	1	1
24	все это делает	1	1
25	каждом отдельном случае	5	1
26	на этот вопрос	1	1
27	одна из них	1	1
28	как и вся	1	1
29	на этот раз	1	1
30	и тот же	1	1
31	в известном смысле	1	1
32	в свою очередь	2	1
33	одни и те	1	1
34	в связи с	1	1
35	что при таком	1	1
36	в свое время	1	1
37	есть не что	1	1
38	не может быть	4	1
39	он в действительности	1	1
40	же самое что	1	1
41	не что иное	1	1
42	в самом деле	1	1
43	и те же	1	1
44	в каждом отдельном	5	1
45	но отнюдь не	1	1
46	друг с другом	2	1
47	то же самое	2	1
