N	3gram	Nazirov_Tv_2	Morfolog
1	и т д	11	47
2	в связи с	1	8
3	не может быть	3	8
4	по отношению к	3	4
5	с другой стороны	2	4
6	не могут быть	1	3
7	как и в	1	3
8	точно так же	1	2
9	это не значит	1	2
10	в то время	1	2
11	быть определен как	1	2
12	не значит что	1	2
13	друг за другом	1	2
14	в том что	2	2
15	т д в	1	2
16	не означает что	1	1
17	хотя и не	1	1
18	до начала действия	1	1
19	о том как	1	1
20	может быть определен	1	1
21	за той или	1	1
22	до сих пор	3	1
23	в таком случае	2	1
24	но это не	1	1
25	можно было бы	1	1
26	не зная о	1	1
27	в этой главе	1	1
28	не то что	1	1
29	когда герой в	1	1
30	в применении к	1	1
31	удобный момент для	1	1
32	на этот вопрос	2	1
33	в целом и	2	1
34	в первый раз	1	1
35	и др мы	1	1
36	т д все	1	1
37	во всяком случае	2	1
38	могут быть поняты	2	1
39	ничего не зная	1	1
40	потому что они	1	1
41	в третий раз	1	1
42	то же время	7	1
43	о характере этого	1	1
44	о том что	2	1
45	то что не	1	1
46	с самого начала	1	1
47	той или иной	1	1
48	или во всяком	1	1
49	так же быть	1	1
50	и многое другое	2	1
51	в то же	7	1
52	такую же роль	1	1
